City,Category,Jaccard,b1_stars,b2_stars,b1_rev,b2_rev
Philadelphia,Restaurants,0.009861932938856016,4.5,3.5,205,307
Philadelphia,Restaurants,0.009202453987730062,4.5,3.5,205,453
Philadelphia,Restaurants,0.018306636155606407,4.5,4.0,205,240
Philadelphia,Restaurants,0.019940179461615155,4.5,4.0,205,818
Philadelphia,Restaurants,0.009333333333333334,4.5,4.0,205,552
Philadelphia,Restaurants,0.021238938053097345,4.5,4.5,205,372
Philadelphia,Restaurants,0.012213740458015267,4.5,4.5,205,1121
Philadelphia,Restaurants,0.006112469437652812,4.5,4.0,205,618
Philadelphia,Restaurants,0.012371134020618556,4.5,4.0,205,286
Philadelphia,Restaurants,0.004477611940298508,4.5,3.5,205,1141
Philadelphia,Restaurants,0.007380073800738007,4.5,4.0,205,614
Philadelphia,Restaurants,0.007776049766718507,4.5,3.5,205,443
Philadelphia,Restaurants,0.013076923076923076,4.5,3.5,205,1112
Philadelphia,Restaurants,0.012693935119887164,4.0,3.5,65,653
Philadelphia,Restaurants,0.010893246187363835,3.0,4.5,41,423
Philadelphia,Restaurants,0.007614213197969543,3.5,4.0,65,729
Philadelphia,Restaurants,0.02,3.5,4.5,65,241
Philadelphia,Restaurants,0.009819967266775777,3.5,4.0,65,552
Philadelphia,Restaurants,0.010221465076660987,3.5,4.5,65,1121
Philadelphia,Restaurants,0.007374631268436578,3.5,4.0,65,618
Philadelphia,Restaurants,0.005838198498748957,3.5,3.5,65,1141
Philadelphia,Restaurants,0.012062726176115802,3.0,4.0,56,783
Philadelphia,Restaurants,0.0165016501650165,3.0,4.0,56,252
Philadelphia,Restaurants,0.015625,3.0,3.0,56,334
Philadelphia,Restaurants,0.033582089552238806,3.0,3.0,56,221
Philadelphia,Restaurants,0.030120481927710843,3.0,2.5,56,115
Philadelphia,Restaurants,0.016025641025641024,3.0,4.0,56,261
Philadelphia,Restaurants,0.009036144578313253,3.0,4.0,56,614
Philadelphia,Restaurants,0.0059665871121718375,3.0,3.5,56,787
Philadelphia,Restaurants,0.006029285099052541,3.0,3.5,56,1112
Philadelphia,Restaurants,0.006666666666666667,3.0,4.0,137,618
Philadelphia,Restaurants,0.014005602240896359,3.0,3.0,137,225
Philadelphia,Restaurants,0.02512562814070352,3.0,4.0,137,67
Philadelphia,Restaurants,0.012903225806451613,3.0,3.0,137,334
Philadelphia,Restaurants,0.014106583072100314,3.0,4.5,137,510
Philadelphia,Restaurants,0.012006861063464836,3.0,3.5,137,453
Philadelphia,Restaurants,0.010263929618768328,3.0,4.0,137,552
Philadelphia,Restaurants,0.01478494623655914,3.0,4.0,137,618
Philadelphia,Restaurants,0.003927729772191673,3.0,3.5,137,1141
Philadelphia,Restaurants,0.00544069640914037,3.0,3.5,137,787
Philadelphia,Restaurants,0.010452961672473868,3.0,3.5,137,443
Philadelphia,Restaurants,0.0064464141821112,3.0,3.5,137,1112
Philadelphia,Restaurants,0.007927519818799546,4.5,4.0,72,818
Philadelphia,Restaurants,0.005054759898904802,4.5,4.5,72,1121
Philadelphia,Restaurants,0.010269576379974325,4.5,4.0,183,604
Philadelphia,Restaurants,0.014534883720930232,4.5,4.0,183,166
Philadelphia,Restaurants,0.02242152466367713,4.5,4.0,183,273
